is_universal,obs_min_fold_overlap,thr_correct,perm_correct,strat_correct,bin
False,0.026390929778633818,True,True,True,0.02-0.05
False,0.05804532786703456,True,True,True,0.05-0.10
True,0.0,True,False,False,0-0.005
True,0.006892904616541431,True,True,True,0.005-0.01
False,0.02328783632186766,True,True,True,0.02-0.05
False,0.042734206078221516,True,True,True,0.02-0.05
True,0.010403018945099958,True,True,True,0.01-0.02
True,0.10004917165537425,True,True,True,0.10-0.20
True,0.10841017521510968,True,True,True,0.10-0.20
True,0.0,True,True,True,0-0.005
False,0.1065778140467669,True,True,True,0.10-0.20
False,0.033709727748221285,True,True,True,0.02-0.05
True,0.027412943038154555,True,True,True,0.02-0.05
True,0.0,True,True,True,0-0.005
True,0.07210856659847191,True,True,True,0.05-0.10
False,0.1574347631354936,True,True,True,0.10-0.20
False,0.20910394357947934,True,True,True,
True,0.13552556220531636,True,True,True,0.10-0.20
False,0.13344916493113376,True,True,True,0.10-0.20
True,0.20994520683135304,True,True,True,
True,0.031200265532680165,True,True,True,0.02-0.05
False,0.1604599229728142,False,True,True,0.10-0.20
True,0.19977341547124577,True,True,True,0.10-0.20
False,0.1658322553909897,True,True,True,0.10-0.20
True,0.17368124267061447,True,True,True,0.10-0.20
False,0.20026239748960484,True,True,True,
False,0.022099133565033322,False,True,True,0.02-0.05
True,0.0,True,True,True,0-0.005
True,0.0,True,True,True,0-0.005
False,0.06589521524895393,True,True,True,0.05-0.10
True,0.053265603005974715,True,True,True,0.05-0.10
False,0.0,True,True,False,0-0.005
True,0.12705149249090292,True,True,True,0.10-0.20
True,0.16990952617112323,True,False,False,0.10-0.20
False,0.1281973507972942,True,True,True,0.10-0.20
False,0.08991760749584392,True,True,True,0.05-0.10
False,0.06733212592916828,True,True,True,0.05-0.10
True,0.026300725130715706,True,True,True,0.02-0.05
True,0.2181044448844946,True,True,True,
True,0.18474523974998527,True,True,True,0.10-0.20
True,0.0016866962466398029,True,False,False,0-0.005
True,0.09019151396861907,True,False,True,0.05-0.10
False,0.09142620171455915,True,True,True,0.05-0.10
True,0.14561427314369568,True,True,True,0.10-0.20
True,0.07279603169444931,True,True,True,0.05-0.10
True,0.13029604337053785,True,True,True,0.10-0.20
False,0.17434055288703834,True,True,True,0.10-0.20
True,0.18415287711411005,True,True,True,0.10-0.20
True,0.08880773999647365,True,True,True,0.05-0.10
False,0.005312141036776465,True,True,True,0.005-0.01
False,0.019971355434233135,True,True,True,0.01-0.02
False,0.14892456278303867,True,True,True,0.10-0.20
True,0.05582796745109382,True,True,True,0.05-0.10
False,0.09605836559163541,True,True,True,0.05-0.10
True,0.03729038051808706,True,True,True,0.02-0.05
False,0.06409662728906727,True,True,True,0.05-0.10
True,0.18022404340469053,True,True,True,0.10-0.20
True,0.0029475748164856912,True,True,True,0-0.005
False,0.001307207867058282,True,True,True,0-0.005
True,0.07678419309535083,True,True,True,0.05-0.10
False,0.1725643281916854,True,True,True,0.10-0.20
