is_universal,shared_points,held_out_n,thr_correct,perm_correct,strat_correct,bin
True,0,35,True,True,True,0
False,0,46,True,True,True,0
False,0,30,True,True,False,0
False,0,38,True,True,False,0
True,0,40,True,True,True,0
True,0,23,True,False,False,0
True,0,32,True,True,True,0
True,0,24,True,False,True,0
False,0,23,True,True,True,0
True,0,21,True,True,True,0
True,0,38,True,True,True,0
False,0,20,True,True,True,0
True,0,30,True,False,False,0
False,0,23,False,True,False,0
False,0,32,False,True,False,0
True,0,22,True,True,True,0
False,0,25,True,True,True,0
False,0,45,True,True,True,0
True,0,47,True,True,True,0
True,0,28,True,True,True,0
False,0,20,False,True,True,0
False,0,45,True,True,True,0
True,0,41,True,True,True,0
False,0,47,True,True,False,0
False,0,25,True,True,True,0
True,0,24,True,True,True,0
True,0,29,True,True,True,0
True,0,23,True,True,True,0
False,0,34,True,True,True,0
False,0,34,True,True,True,0
False,0,36,True,True,False,0
False,0,22,True,True,True,0
True,0,46,True,True,True,0
False,0,35,True,True,False,0
True,0,24,True,False,True,0
False,0,32,True,True,True,0
True,0,30,True,True,True,0
True,0,32,True,False,True,0
False,0,49,True,True,True,0
True,0,30,True,False,False,0
True,0,38,True,True,False,0
True,0,32,True,True,True,0
False,0,25,False,True,False,0
False,0,31,True,True,True,0
True,0,20,True,False,True,0
False,0,39,True,True,False,0
False,0,41,True,True,True,0
False,0,35,True,True,True,0
False,0,39,True,True,True,0
False,0,27,True,True,False,0
False,0,37,True,True,True,0
False,0,41,True,True,True,0
True,0,22,True,True,True,0
True,0,28,True,False,False,0
True,0,21,True,True,True,0
True,0,31,True,False,True,0
True,0,40,True,True,True,0
True,0,30,True,False,True,0
False,0,27,True,True,False,0
True,0,34,True,True,True,0
False,0,22,True,True,True,0
True,0,28,True,True,True,0
True,0,42,True,True,True,0
False,0,48,True,True,False,0
False,0,46,False,True,True,0
False,0,44,True,True,False,0
True,0,29,True,True,True,0
True,0,29,True,True,True,0
True,0,24,True,True,True,0
True,0,20,True,True,True,0
True,0,29,True,True,True,0
True,0,21,True,True,True,0
False,0,21,True,True,True,0
True,0,27,True,True,True,0
True,0,44,True,True,True,0
True,0,20,True,True,True,0
False,0,40,False,True,True,0
False,0,35,True,True,True,0
True,0,37,True,False,True,0
False,0,38,True,True,True,0
True,0,39,True,False,True,0
True,0,39,True,False,True,0
False,0,48,False,True,True,0
False,0,44,True,True,True,0
True,0,26,True,False,True,0
True,0,21,True,True,True,0
False,0,32,True,True,True,0
True,0,36,True,False,True,0
True,0,39,True,True,True,0
True,0,24,True,False,True,0
False,0,22,True,True,True,0
True,0,32,True,True,True,0
True,0,24,True,False,True,0
False,0,20,True,True,True,0
True,0,23,True,True,True,0
False,0,31,False,True,True,0
True,0,34,True,False,True,0
False,0,23,False,True,True,0
False,0,43,True,True,True,0
False,0,23,True,True,False,0
True,0,31,True,False,True,0
True,0,38,True,True,True,0
False,0,30,True,True,False,0
False,0,36,True,True,True,0
False,0,37,True,True,False,0
False,0,42,True,True,False,0
True,0,38,True,True,True,0
True,0,47,True,True,True,0
True,0,27,True,True,True,0
True,0,27,True,True,True,0
True,0,27,True,True,True,0
False,0,23,True,True,False,0
False,0,34,True,True,False,0
False,0,20,True,True,False,0
True,0,22,True,True,True,0
True,0,22,True,True,True,0
True,0,26,True,True,False,0
False,0,29,True,True,True,0
False,0,25,True,True,True,0
False,0,26,True,True,True,0
True,0,22,True,True,True,0
True,0,30,True,True,True,0
True,0,31,True,False,True,0
True,0,31,True,False,True,0
True,0,32,True,True,True,0
False,0,41,True,True,True,0
True,0,31,True,True,True,0
False,0,38,True,True,True,0
False,0,47,True,True,True,0
False,0,21,False,True,True,0
True,0,27,True,False,True,0
True,0,39,True,True,True,0
True,0,41,True,True,True,0
True,0,23,True,False,True,0
True,0,38,True,True,True,0
False,0,36,False,True,True,0
False,0,28,True,True,True,0
True,0,31,True,True,True,0
True,0,25,True,True,True,0
True,0,49,True,False,True,0
False,0,30,True,True,True,0
True,0,28,True,True,True,0
True,0,23,True,True,True,0
True,0,38,True,True,True,0
False,0,32,False,True,True,0
False,0,21,True,True,True,0
True,0,34,True,True,True,0
False,0,29,False,True,False,0
True,0,46,True,True,True,0
False,0,32,True,True,True,0
True,0,33,True,True,True,0
False,0,33,True,True,False,0
False,0,45,True,True,False,0
False,0,34,False,True,True,0
True,0,24,True,True,True,0
True,0,27,True,True,True,0
False,0,25,True,True,False,0
True,0,32,True,True,True,0
False,0,27,True,True,False,0
False,0,32,True,True,False,0
False,0,31,True,True,False,0
False,0,44,False,True,True,0
True,0,28,True,True,True,0
False,0,37,True,True,False,0
True,0,48,True,True,True,0
False,0,37,True,True,False,0
True,0,40,True,False,True,0
True,0,40,True,True,True,0
True,0,43,True,True,True,0
False,0,48,True,True,False,0
False,0,45,True,True,True,0
True,0,31,True,True,True,0
False,0,49,True,True,True,0
False,0,44,True,True,False,0
True,0,29,True,True,True,0
True,0,36,True,True,True,0
True,0,20,True,False,True,0
False,0,42,False,True,False,0
False,0,47,True,True,False,0
True,0,38,True,False,True,0
True,0,21,True,False,True,0
True,0,21,True,True,True,0
True,0,28,True,True,True,0
True,0,41,True,False,True,0
False,0,39,False,True,False,0
False,0,25,True,True,True,0
True,0,33,True,False,True,0
False,0,31,True,True,True,0
False,0,27,False,True,False,0
False,0,36,True,True,False,0
False,0,22,True,True,False,0
False,0,27,True,True,True,0
False,0,35,True,True,True,0
False,0,43,False,True,True,0
True,0,44,True,True,True,0
True,0,41,True,True,True,0
False,0,21,True,True,False,0
False,0,20,True,True,True,0
True,0,49,True,True,True,0
False,0,28,False,True,False,0
True,0,23,True,True,True,0
True,0,21,True,False,True,0
True,0,28,True,True,True,0
True,0,40,True,False,True,0
True,0,23,True,True,True,0
True,0,30,True,True,True,0
True,0,29,True,True,True,0
True,0,23,True,False,True,0
False,0,35,True,True,True,0
True,0,30,True,False,True,0
False,0,29,False,True,True,0
False,0,22,True,True,True,0
False,0,21,True,True,False,0
True,0,39,True,True,True,0
True,0,46,True,True,True,0
False,0,34,True,True,True,0
False,0,28,True,True,True,0
True,0,43,True,True,True,0
False,0,27,True,True,True,0
True,0,26,True,False,True,0
True,0,43,True,True,True,0
True,0,23,True,True,True,0
False,0,20,True,True,True,0
False,0,39,True,True,False,0
True,0,25,True,True,True,0
False,0,22,True,True,True,0
True,0,43,True,False,True,0
False,0,26,True,True,True,0
True,0,48,True,True,True,0
False,0,45,True,True,True,0
True,0,36,True,True,True,0
False,0,44,True,True,True,0
False,0,35,True,True,False,0
False,0,21,True,True,False,0
True,0,35,True,False,True,0
False,0,30,False,True,True,0
True,0,25,True,True,True,0
True,0,32,True,True,True,0
True,0,26,True,True,True,0
True,0,43,True,True,True,0
True,0,29,True,True,True,0
False,0,30,True,True,False,0
False,0,22,True,True,True,0
True,0,27,True,True,True,0
True,0,20,True,True,False,0
True,0,36,True,True,True,0
False,0,35,True,True,True,0
True,0,20,True,False,True,0
True,0,22,True,False,True,0
False,0,31,False,True,False,0
True,0,21,True,True,True,0
True,0,38,True,False,True,0
False,0,38,True,True,True,0
False,0,38,True,True,True,0
False,0,24,True,True,False,0
True,0,21,True,True,True,0
False,0,25,False,True,True,0
False,0,47,False,True,False,0
False,0,38,True,True,False,0
True,0,41,True,True,True,0
True,0,29,True,True,True,0
True,0,30,True,True,True,0
False,0,37,True,True,True,0
False,0,23,True,True,True,0
False,0,24,True,True,False,0
False,0,33,True,True,True,0
False,0,28,True,True,True,0
False,0,20,True,True,False,0
False,0,20,False,True,False,0
False,0,41,True,True,True,0
False,0,27,True,True,False,0
False,0,26,True,True,True,0
False,0,22,True,True,True,0
False,0,34,True,True,False,0
False,0,46,True,True,False,0
False,0,38,False,True,True,0
False,0,46,True,True,True,0
False,0,28,False,True,True,0
False,0,21,True,True,False,0
False,0,28,True,True,True,0
True,1,34,True,True,True,1
True,1,42,True,True,True,1
False,1,33,True,True,True,1
False,1,25,True,True,True,1
True,1,31,True,True,True,1
False,1,29,True,True,True,1
False,1,22,True,True,True,1
True,1,21,True,True,True,1
False,1,33,True,True,True,1
False,1,37,True,True,True,1
False,1,33,True,True,True,1
False,1,47,True,True,True,1
False,1,32,True,True,True,1
True,1,25,True,True,True,1
True,1,26,True,True,True,1
False,1,34,False,True,True,1
False,1,48,True,True,True,1
True,1,21,True,True,True,1
True,1,21,True,True,True,1
False,1,23,True,True,True,1
True,1,32,True,True,True,1
False,1,48,True,True,True,1
False,1,40,True,True,True,1
False,1,23,True,True,True,1
False,1,21,True,True,True,1
False,1,29,False,True,True,1
False,1,28,True,True,True,1
True,1,29,True,True,True,1
False,1,39,False,True,True,1
False,1,24,True,True,True,1
True,1,23,True,False,False,1
True,1,35,True,True,True,1
False,1,22,False,True,True,1
True,1,35,True,True,True,1
False,1,42,True,True,True,1
True,1,44,True,True,True,1
True,1,28,True,True,True,1
True,1,42,True,True,True,1
False,1,20,True,True,True,1
True,1,21,True,True,True,1
True,1,42,True,False,True,1
False,1,30,True,True,True,1
False,1,31,True,True,True,1
True,1,23,True,True,True,1
False,1,27,True,True,True,1
True,1,23,True,True,True,1
False,1,21,False,True,True,1
