K,n_per_facility,sigma,heterogeneity,is_universal,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
7,43,0.3002701304566717,0.9655075411029274,True,0.905257130252844,True,-0.4819038357416088,-0.43184201441042475,True,0.29040261177505367,0.034916623090431115,0.04,False,False,True,0
19,43,0.2511958691333336,2.504948129262709,False,-0.10267811193573118,False,-0.8683498391833917,-0.20671706756690159,True,8.21964225712873,0.5929980303649202,0.01,False,True,True,1
19,47,0.321027631174041,0.7865132128928325,False,-0.01574721218823405,False,-0.6305399999305137,-0.3250686348168145,True,3.091096172029392,0.22303327537204157,0.01,False,True,True,2
10,63,0.17738165311319082,0.6217570005829984,True,0.9672234696497936,True,-0.4557256058689772,-0.448307993192387,True,0.18182933953909527,0.006452784619027114,0.8,True,True,True,3
15,75,0.5768977376878871,2.508983280622437,False,-0.13714706865360937,False,-0.8736740147646161,-0.04228210908112826,True,7.833216965903608,0.622940900673001,0.01,False,True,True,4
2,40,0.4699893796319882,2.529383413217227,False,-2.502345754846511,False,-1.1222094640815405,-0.54615863333079,True,4.426326644191948,0.2880254153753754,0.01,False,True,True,5
11,88,0.15510817526671286,1.7869809504558747,True,0.9783596039289363,True,-0.4596780552094419,-0.4530503420539504,True,0.14925472241841678,0.006173628615211088,0.54,True,True,True,6
4,58,0.1047070626800887,1.1957105914382682,True,0.9906323352213733,True,-0.4616696073176486,-0.4463524948006443,True,0.08995825595908898,0.0077112041585361245,0.74,True,True,True,7
6,77,0.32045952400329863,2.992884623882082,True,0.8954997119179714,True,-0.47161096171857164,-0.4290710932047244,True,0.3356818130207177,0.030039957077273957,0.06,True,True,True,8
7,75,0.08697244514929886,0.9817407735870152,False,-0.290658029871933,False,-0.6187246312137441,-0.2184843082735128,True,3.303191002830017,0.22858752021823972,0.01,False,True,True,9
20,42,0.06963480427377045,1.8410719221901566,True,0.9951822359697904,True,-0.45371893272410435,-0.44901297242337124,True,0.0696290797315158,0.005525759630147477,0.67,True,True,True,10
14,29,0.19214385857013683,0.013885179635120815,False,0.9498573965424146,True,-0.4481541167261733,-0.4293761380607482,True,0.20305702652159763,0.019218881210155723,0.01,False,True,False,11
20,100,0.5757240845783118,0.5264958321507915,False,0.015635946825935165,True,-0.5087365627546718,-0.31048489909766724,True,2.6147586533439857,0.18516480126006432,0.01,False,True,False,12
13,26,0.3544086094501917,2.4716481743383474,False,-0.16434281066981593,False,-0.7890727066012011,-0.022538712002162457,True,7.578108727575669,0.5104024901171273,0.01,False,True,True,13
18,83,0.1683597615459983,0.6575879033677849,False,-0.02135117582586732,False,-0.4551740719325031,-0.2634692256556101,True,2.716570797575817,0.1832465140220823,0.01,False,True,True,14
20,36,0.2945812607255316,0.9013452064695807,True,0.9195972028687311,True,-0.47228650710512754,-0.4498568000120502,True,0.2969646545120688,0.02534115823581888,0.83,True,True,True,15
8,60,0.2469366394230446,1.9397495530157531,True,0.9312204820752459,True,-0.4503861086393899,-0.42587288907888693,True,0.2568581015066548,0.019904706306326833,0.63,True,True,True,16
10,7,0.5796221091788303,0.32344564536278086,False,0.30601854153910046,True,-0.6993535797164969,-0.3953750245387661,True,1.2497794887038267,0.23615979123367217,0.01,False,True,False,17
15,65,0.14924988279206258,1.7622788995511935,True,0.9749241755124965,True,-0.4567400054241781,-0.4479694115650389,True,0.1557505520878625,0.009916563923876664,0.23,True,True,True,18
4,92,0.3245465492405342,2.4506001964330157,True,0.8906276653128671,True,-0.4659269822374047,-0.4344019042509003,True,0.3341315570331868,0.01818244944611737,0.19,True,True,True,19
19,61,0.0759646760123819,1.3048001959824975,True,0.9938108448050975,True,-0.44955431703205245,-0.4462944607016723,True,0.07777353220389183,0.0040365377657918524,0.72,True,True,True,20
16,64,0.2611359208060401,2.5004258919018447,False,-0.08386184370913718,False,-1.0397643947418913,-0.5028593138930904,True,8.135866602975849,0.5568851646690595,0.01,False,True,True,21
18,88,0.21904483404049196,0.942872927102017,False,-0.032007002128339845,False,-0.617673654734887,-0.34470008868735125,True,3.424046691170444,0.25162238302237994,0.01,False,True,True,22
18,16,0.49721666646203383,2.4949563438009825,False,-0.13976021633871283,False,-1.049496043012437,1.2341764303025686,False,11.26736345068017,0.8572623726281872,0.01,False,True,True,23
19,41,0.09933665879979921,0.6108377720406,False,0.16202872624180498,True,-0.5107641686663412,-0.3018572029953528,True,1.7252392335104547,0.15806174776377543,0.01,False,True,False,24
8,58,0.25103846324821044,1.3034486931203313,True,0.9355385382082503,True,-0.4516575939430542,-0.4346757696121548,True,0.2484879951745184,0.012922385699418502,0.76,True,True,True,25
5,68,0.2632183921355868,1.6964603527541322,False,-0.4856791414385715,False,-1.522182447043274,-0.3234422126780825,True,8.276252664346226,0.5544777041099095,0.01,False,True,True,26
11,71,0.21934532751348645,0.2129275510583336,True,0.9497045067075687,True,-0.46048456081868233,-0.4484401743944623,True,0.22428311087240124,0.01142345533540861,0.65,True,True,True,27
5,16,0.33499689424853885,2.357979422401827,False,-0.6452971745691238,False,-0.9414849351871174,1.0366464016035106,False,9.19963492704321,0.7494182879462338,0.01,False,True,True,28
13,75,0.23156886770190205,1.844248385418865,False,-0.1704449412070974,False,-0.21401445644780698,0.19733849609202878,False,6.843831195021555,0.5207156383406789,0.01,False,True,True,29
6,6,0.28582714557019556,1.141401168212535,True,0.9444189691985365,True,-0.4490744864645876,-0.37708271588110764,True,0.21104091998054628,0.10365938112370272,0.65,True,True,True,30
2,31,0.3156745692697943,1.9077395607753456,False,-2.895540939817466,False,-1.3688346722665485,-0.2516005080477113,True,5.344718632143684,0.5586170821094187,0.01,False,True,True,31
18,24,0.07903655413461293,1.5548625010775146,False,-0.1160442063847893,False,-0.6622537319754956,-0.11224160323166027,True,5.62415295422438,0.40971939970007637,0.01,False,True,True,32
12,57,0.22476017563522893,2.764706169161189,True,0.9473560753255554,True,-0.4582978655556344,-0.43811770877420336,True,0.22387209616885143,0.020248198437129616,0.22,True,True,True,33
3,100,0.570021246517558,2.273730833383977,False,-1.1848302654079528,False,-1.74702584195795,-0.021425844197438898,True,8.681505956812666,0.5790460722010251,0.01,False,True,True,34
