K,n_per_facility,sigma,heterogeneity,is_universal,confound_type,n_mode,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
14,67,0.2531099274026081,1.429656423417813,True,gaussian_linear,equal,0.9338498296506772,True,-0.4577456888631466,-0.4435441714254961,True,0.2597816376759926,0.012899627554955963,0.09,True,True,True,gaussian_linear_0
15,91,0.41228868952330344,0.679935144181596,False,gaussian_linear,equal,-0.024974523790191494,False,-0.42146039556680825,-0.23798046600079717,True,2.1066621043369134,0.17023195549167924,0.01,False,True,True,gaussian_linear_1
3,96,0.4633079220486365,0.5358782649756669,False,gaussian_linear,equal,-0.7318388424826185,False,-0.49002033442213566,-0.2603449075183389,True,1.4951745262282992,0.10823071634666032,0.01,False,True,True,gaussian_linear_2
7,41,0.4718012248181897,1.0630301695846955,False,gaussian_linear,unequal,-0.45809290891896115,False,-0.8194680742613926,0.13864900949340014,False,5.913289374666453,0.42424711205505067,0.01,False,True,True,gaussian_linear_3
14,32,0.24441175952230182,1.0895743283698243,False,gaussian_linear,unequal,0.02796564156458603,True,-0.604665341814308,-0.3571371165463629,True,2.229452771789497,0.1847852931297543,0.01,False,True,False,gaussian_linear_4
8,53,0.3984316658081597,2.331256499543098,True,gaussian_linear,equal,0.8636452483122384,True,-0.4717678707030308,-0.44101535804745856,True,0.3988496852679766,0.026544872762299714,0.3,True,True,True,gaussian_linear_5
14,51,0.2466561102971983,2.7379254180124413,True,gaussian_linear,unequal,0.9371564336551104,True,-0.45274706052944025,-0.43747301928036303,True,0.24559631582928024,0.021416655711133374,0.78,True,True,True,gaussian_linear_6
9,91,0.5169505084690568,2.404265050556076,False,gaussian_linear,unequal,-0.2550113383091863,False,-1.3342108857908914,-0.654542352716922,True,6.939540138805361,0.42687835254570144,0.01,False,True,True,gaussian_linear_7
2,7,0.5254148141091725,0.187883422503207,True,gaussian_linear,equal,0.4837649396761906,True,-0.44321762999258396,-0.3438916541955954,True,0.40933326990419616,0.03878573404843,0.74,True,True,True,gaussian_linear_8
7,58,0.5206167020185606,1.4500634649517132,True,gaussian_linear,equal,0.8131210835651292,True,-0.47985357256981476,-0.4340279162378302,True,0.49117736065310735,0.029322452649359176,0.51,True,True,True,gaussian_linear_9
