K,n_per_facility,sigma,heterogeneity,is_universal,overlap,obs_overlap,r2_lofo,p_naive,p_strat,thr_says_universal,perm_says_universal,strat_says_universal,thr_correct,perm_correct,strat_correct
12,62,0.3247959657731934,1.0297996991364937,True,0.0365989702568037,0.028532657852339945,0.9033124665326898,0.98,0.81,True,True,True,True,True,True
9,64,0.4306381277095441,0.5969422682540727,True,0.29376820593799835,0.23813541540410077,0.8096733087436772,0.01,0.02,True,False,False,True,False,False
5,52,0.33624874382247555,0.9543885887998247,True,0.5738900243188726,0.5357944313654046,0.8873074333801358,0.15,0.26,True,True,True,True,True,True
4,43,0.15108658239868733,1.6151718273795976,True,0.6798551132308409,0.6538014500454563,0.9760311699991381,0.85,0.87,True,True,True,True,True,True
10,12,0.19704146497830521,0.9787869890574667,True,0.6002736543956986,0.4634504521495261,0.9512081497218073,0.13,0.21,True,True,True,True,True,True
8,46,0.11005033896037661,0.8002840933464515,False,0.4458675677775379,0.3832947356022945,0.18369693930594744,0.01,0.01,True,False,False,False,True,True
6,38,0.38436222179971397,0.9719281428858491,True,0.6540019513368988,0.6322263353902867,0.8399808088071036,0.36,0.48,True,True,True,True,True,True
4,38,0.5543640040433295,1.9593741786318108,False,0.0028741315928123568,0.0,-0.13777296085687563,0.01,1.0,False,False,True,True,True,False
7,67,0.16472361789681494,0.37539338020954277,True,0.4935377717844296,0.45462245285783404,0.96154632653266,0.98,0.91,True,True,True,True,True,True
4,66,0.10110725804823086,0.45352306890987,False,0.18837524708687003,0.1574060057390451,0.7354123556348566,0.01,0.01,True,False,False,False,True,True
8,11,0.5582455298037515,1.2973489378932133,True,0.22221598866639602,0.16609451880610596,0.7638335002618791,0.17,0.19,True,True,True,True,True,True
3,20,0.37474711427085233,0.5568612615215363,True,0.6645748097683059,0.6335559047795974,0.8361269172344686,0.96,0.9,True,True,True,True,True,True
4,65,0.43250942097468253,1.6141036846608887,True,0.634453908644001,0.6252108169230302,0.7969817096379384,0.03,0.01,True,False,False,True,False,False
4,46,0.5273965854498472,0.4953828922980882,True,0.04104328667730128,0.028099225871277916,0.7578601471384234,0.3,0.13,True,True,True,True,True,True
6,69,0.4563874727051443,1.087273751265587,True,0.8447772757333203,0.829978299390228,0.8238742103666663,1.0,0.94,True,True,True,True,True,True
9,17,0.4191452381381202,0.44748847035524686,True,0.72373779181124,0.6631990355689829,0.8126627538307646,0.39,0.45,True,True,True,True,True,True
12,44,0.44537477249861424,1.7443582728917832,False,0.7280692574772807,0.7053009990335991,-0.14934575676049566,0.01,0.01,False,False,False,True,True,True
4,39,0.4916753524338712,1.2950954963406076,True,0.13926244444260194,0.10784978976003197,0.81927620972397,0.52,0.24,True,True,True,True,True,True
